SN_Name,old_name,redshift,year
sn2008ar,sn2008ar,0.026147,2008
sn1999ac,sn1999ac,0.00944,1999
sn1998dk,sn1998dk,0.01322,1998
sn2005gj,sn2005gj,0.0616,2005
sn2004eo,sn04eo,0.014734,2004
sn2002cr,sn2002cr,0.00948,2002
sn2006ej,sn06ej,0.019333,2006
sn2003ai,sn03ai,0.035001,2003
sn2001br,sn2001br,0.020628,2001
sn2006et,sn2006et,0.021178,2006
sn2002cu,sn2002cu,0.023323,2002
sn2006cs,sn06cs,0.023676,2006
sn2002bg,sn02bg,0.04274,2002
sn2006kf,sn06kf,0.020799,2006
sn2000cf,sn2000cf,0.0353,2000
sn2008bt,sn08bt,0.01536,2008
sn1994d,sn94d,0.00149,1994
sn2004bk,sn2004bk,0.023124,2004
sn1999ex,sn1999ex,0.0114,1999
sn2007a,sn2007a,0.016463,2007
sn2001ep,sn2001ep,0.013012,2001
sn2000dm,sn2000dm,0.01503,2000
sn2007f,sn2007f,0.023591,2007
sn1998de,sn1998de,0.01647,1998
sn2003gq,sn03gq,0.02145,2003
sn2006bq,sn2006bq,0.021905,2006
sn2002dp,sn2002dp,0.011639,2002
sn2007if,sn2007if,0.073092,2007
sn1995ac,sn1995ac,0.0499,1995
sn1999bh,sn1999bh,0.01721,1999
sn2006dw,sn06dw,0.02704,2006
sn2004fz,sn04fz,0.017312,2004
sn2007nq,sn2007nq,0.043904,2007
sn1992ar,sn1992ar,0.145,1992
sn2006ke,sn06ke,0.017182,2006
sn2001el,sn2001el,0.00346,2001
sn1995ac,sn95ac,0.0499,1995
sn2001ay,sn2001ay,0.03024,2001
sn2002dl,sn2002dl,0.016251,2002
sn2006cq,sn06cq,0.048337,2006
sn1990b,sn1990b,0.00744,1990
sn2001bg,sn2001bg,0.007122,2001
sn1999em,sn1999em,0.002392,1999
sn2002ic,sn2002ic,0.066,2002
sn1997br,sn1997br,0.006941,1997
sn2003fa,sn2003fa,0.006004,2003
sn1999x,sn1999x,0.02517,1999
sn2006az,sn2006az,0.030935,2006
sn1999ej,sn1999ej,0.01372,1999
sn2006cp,sn06cp,0.022289,2006
sn2005cc,sn2005cc,0.0074,2005
sn2007s,sn2007s,0.01388,2007
sn2002de,sn2002de,0.028116,2002
sn2006or,sn06or,0.020744,2006
sn2004dt,sn2004dt,0.01973,2004
sn2002he,sn2002he,0.024564,2002
sn1983n,sn1983n,0.00308,1983
sn2000cx,sn00cx,0.007929,2000
sn2004dt,sn04dt,0.01973,2004
sn2002g,sn2002g,0.033737,2002
sn2005be,sn2005be,0.035001,2005
sn2007kk,sn2007kk,0.041045,2007
sn2002bo,sn2002bo,0.00424,2002
sn1991m,sn1991m,0.007235,1991
sn2007af,sn07af,0.005464,2007
sn2007af,sn2007af,0.005464,2007
sn2006os,sn06os,0.032081,2006
sn2004gc,sn2004gc,0.030715,2004
sn2003iv,sn2003iv,0.034307,2003
sn2005hf,sn2005hf,0.04311,2005
sn2004bl,sn04bl,0.01732,2004
sn2002bf,sn2002bf,0.024197,2002
sn2008c,sn2008c,0.017067,2008
sn2005ls,sn2005ls,0.021118,2005
sn1984l,sn1984l,0.0051,1984
sn1989b,sn89b,0.002425,1989
sn2003gn,sn2003gn,0.03445,2003
sn2005bl,sn2005bl,0.02406,2005
sn2006cp,sn2006cp,0.022289,2006
sn2007bj,sn2007bj,0.016708,2007
sn1992a,sn1992a,0.00421,1992
sn2007fb,sn07fb,0.018026,2007
sn2006mo,sn2006mo,0.036999,2006
sn2003cg,sn2003cg,0.00413,2003
sn1996ab,sn1996ab,0.1242,1996
sn1998aq,sn1998aq,0.003699,1998
sn2002hw,sn2002hw,0.017535,2002
sn1998ec,sn1998ec,0.0199,1998
sn2005kc,sn2005kc,0.01512,2005
sn2007bm,sn2007bm,0.006211,2007
sn2006em,sn06em,0.019233,2006
sn2005hk,sn05hk,0.01306,2005
sn2008q,sn2008q,0.007935,2008
sn1999gi,sn1999gi,0.001975,1999
sn1995d,sn1995d,0.006561,1995
sn2003he,sn03he,0.025504,2003
sn2006n,sn2006n,0.014277,2006
sn1996z,sn1996z,0.00758,1996
sn2007bc,sn2007bc,0.02077,2007
sn2006lf,sn06lf,0.013189,2006
sn2003ic,sn2003ic,0.055672,2003
sn1992h,sn1992h,0.00457,1992
sn2002ef,sn02ef,0.023977,2002
sn2007bd,sn2007bd,0.031939,2007
sn2005eq,sn05eq,0.028351,2005
sn1980k,sn1980k,0.00015,1980
sn2001e,sn2001e,0.01926,2001
sn2005eu,sn2005eu,0.034901,2005
sn2000cu,sn2000cu,0.023299,2000
sn2004et,sn2004et,0.000909,2004
sn2006cz,sn06cz,0.041799,2006
sn2004l,sn2004l,0.032309,2004
sn1999ek,sn1999ek,0.01752,1999
sn2005cf,sn05cf,0.006461,2005
sn2004ef,sn04ef,0.029771,2004
sn2003kf,sn2003kf,0.007388,2003
sn2005mz,sn2005mz,0.017559,2005
sn1999dq,sn99dq,0.01433,1999
sn2003hv,sn2003hv,0.005601,2003
sn1998dx,sn1998dx,0.054221,1998
sn1979c,sn1979c,0.00455,1979
sn1997y,sn97y,0.01587,1997
sn1994q,sn1994q,0.02956,1994
sn2000cu,sn00cu,0.023299,2000
sn2001bf,sn2001bf,0.015501,2001
sn2002bo,sn02bo,0.00424,2002
sn2002cf,sn2002cf,0.0155,2002
sn1999ee,sn1999ee,0.01141,1999
sn1999aw,sn1999aw,0.0391,1999
sn2008af,sn2008af,0.033507,2008
sn2007cq,sn2007cq,0.0259,2007
sn2002dj,sn2002dj,0.009393,2002
