Object,Phase Delay,SN Subtype ID,SN Maintype ID,Spectral Phase,Modification Type,Redshift Applied,Spikes Added
sn1999em,119.0,13,3,119.0,Add Spikes and Shift,True,True
sn2005cs,13.8,13,3,13.8,None,False,False
sn2005cs,17.8,13,3,17.8,None,False,False
sn2005cs,1.0,13,3,1.0,Shift Spectrum,True,False
sn2004et,146.9,13,3,146.9,None,False,False
sn2004et,35.1,13,3,35.1,Shift Spectrum,True,False
sn2005cs,-0.8,13,3,-0.8,Shift Spectrum,True,False
sn1992H,129.8,13,3,129.8,None,False,False
sn1999em,39.2,13,3,39.2,None,False,False
sn1992H,24.5,13,3,24.5,Shift Spectrum,True,False
sn1992H,112.9,13,3,112.9,Shift Spectrum,True,False
sn2005cs,0.8,13,3,0.8,Add Spikes and Shift,True,True
sn2004et,24.6,13,3,24.6,Shift Spectrum,True,False
sn1999em,157.9,13,3,157.9,Shift Spectrum,True,False
sn1992H,265.1,13,3,265.1,Shift Spectrum,True,False
sn2004et,384.5,13,3,384.5,Add Spikes and Shift,True,True
sn1999em,87.0,13,3,87.0,None,False,False
sn2005cs,39.7,13,3,39.7,Add Spikes,False,True
sn1992H,309.8,13,3,309.8,Shift Spectrum,True,False
sn1999em,-1.6,13,3,-1.6,Add Spikes,False,True
sn1999em,0.4,13,3,0.4,Shift Spectrum,True,False
sn1999em,-2.6,13,3,-2.6,None,False,False
sn2004et,14.5,13,3,14.5,None,False,False
sn2005cs,7.1,13,3,7.1,None,False,False
sn1999em,1.4,13,3,1.4,Add Spikes,False,True
sn1999gi,-7.0,13,3,-7.0,None,False,False
sn1992H,24.5,13,3,24.5,Add Spikes and Shift,True,True
sn2004et,146.9,13,3,146.9,Add Spikes and Shift,True,True
sn2005cs,5.0,13,3,5.0,Add Spikes,False,True
sn2005cs,0.8,13,3,0.8,None,False,False
sn2004et,82.5,13,3,82.5,Add Spikes,False,True
sn2005cs,9.7,13,3,9.7,Add Spikes,False,True
sn2004et,4.0,13,3,4.0,None,False,False
sn1999gi,144.4,13,3,144.4,None,False,False
sn1999em,11.1,13,3,11.1,Shift Spectrum,True,False
sn2005cs,176.1,13,3,176.1,Add Spikes,False,True
sn2006bp,2.1,13,3,2.1,Add Spikes,False,True
sn1999em,39.2,13,3,39.2,Add Spikes,False,True
sn2005cs,7.1,13,3,7.1,Shift Spectrum,True,False
sn1999em,60.1,13,3,60.1,None,False,False
sn2005cs,1.0,13,3,1.0,None,False,False
sn1998S,2.7,15,3,2.7,Add Spikes,False,True
sn1998S,300.0,15,3,300.0,Shift Spectrum,True,False
sn1998S,2.7,15,3,2.7,Add Spikes and Shift,True,True
sn1998S,45.6,15,3,45.6,Add Spikes,False,True
sn1998S,2.7,15,3,2.7,Add Spikes and Shift,True,True
sn1998S,43.6,15,3,43.6,Shift Spectrum,True,False
sn1998S,127.3,15,3,127.3,None,False,False
sn1998S,241.3,15,3,241.3,Add Spikes and Shift,True,True
sn1998S,15.8,15,3,15.8,Shift Spectrum,True,False
sn1998S,72.5,15,3,72.5,Add Spikes and Shift,True,True
sn1998S,127.3,15,3,127.3,None,False,False
sn1998S,31.7,15,3,31.7,None,False,False
sn1998S,240.3,15,3,240.3,Add Spikes and Shift,True,True
sn1996L,58.1,15,3,58.1,Add Spikes,False,True
sn1998S,30.7,15,3,30.7,Shift Spectrum,True,False
sn1998S,101.4,15,3,101.4,None,False,False
sn1998S,256.3,15,3,256.3,Add Spikes and Shift,True,True
sn1998S,13.8,15,3,13.8,Shift Spectrum,True,False
sn1998S,101.4,15,3,101.4,None,False,False
sn1998S,120.3,15,3,120.3,Add Spikes,False,True
sn1998S,268.2,15,3,268.2,None,False,False
sn1998S,60.5,15,3,60.5,Add Spikes and Shift,True,True
sn1998S,-13.1,15,3,-13.1,Add Spikes and Shift,True,True
sn1998S,11.4,15,3,11.4,Add Spikes and Shift,True,True
sn1998S,58.5,15,3,58.5,Add Spikes and Shift,True,True
sn1998S,89.4,15,3,89.4,Add Spikes and Shift,True,True
sn1998S,58.5,15,3,58.5,Add Spikes and Shift,True,True
sn1996L,323.8,15,3,323.8,Shift Spectrum,True,False
sn1998S,43.6,15,3,43.6,Add Spikes and Shift,True,True
sn1998S,300.0,15,3,300.0,Shift Spectrum,True,False
sn1998S,127.3,15,3,127.3,Add Spikes and Shift,True,True
sn1998S,247.3,15,3,247.3,Shift Spectrum,True,False
sn1998S,-12.5,15,3,-12.5,Add Spikes,False,True
sn1996L,42.2,15,3,42.2,None,False,False
sn1998S,93.4,15,3,93.4,Shift Spectrum,True,False
sn1998S,338.9,15,3,338.9,Add Spikes and Shift,True,True
sn1998S,15.8,15,3,15.8,Shift Spectrum,True,False
sn1998S,422.5,15,3,422.5,Add Spikes and Shift,True,True
sn1998S,98.4,15,3,98.4,None,False,False
sn1998S,120.3,15,3,120.3,Shift Spectrum,True,False
sn1998S,127.3,15,3,127.3,Shift Spectrum,True,False
sn1996L,323.8,15,3,323.8,Shift Spectrum,True,False
sn1998S,95.4,15,3,95.4,Shift Spectrum,True,False
